dataset,sequence_identity,num_clusters
Fold01,1.00,1600
Fold01,0.99,1374
Fold01,0.98,1235
Fold01,0.97,1164
Fold01,0.96,1103
Fold01,0.95,1053
Fold01,0.94,1001
Fold01,0.93,963
Fold01,0.92,926
Fold01,0.91,894
Fold01,0.90,856
Fold01,0.80,535
Fold01,0.70,326
Fold01,0.60,253
Fold01,0.50,145
Fold02,1.00,1600
Fold02,0.99,1376
Fold02,0.98,1238
Fold02,0.97,1168
Fold02,0.96,1108
Fold02,0.95,1059
Fold02,0.94,1017
Fold02,0.93,962
Fold02,0.92,929
Fold02,0.91,893
Fold02,0.90,860
Fold02,0.80,533
Fold02,0.70,335
Fold02,0.60,259
Fold02,0.50,152
Fold03,1.00,1605
Fold03,0.99,1373
Fold03,0.98,1227
Fold03,0.97,1152
Fold03,0.96,1094
Fold03,0.95,1052
Fold03,0.94,997
Fold03,0.93,950
Fold03,0.92,921
Fold03,0.91,885
Fold03,0.90,848
Fold03,0.80,547
Fold03,0.70,335
Fold03,0.60,254
Fold03,0.50,152
Fold04,1.00,1604
Fold04,0.99,1382
Fold04,0.98,1237
Fold04,0.97,1163
Fold04,0.96,1096
Fold04,0.95,1053
Fold04,0.94,1007
Fold04,0.93,959
Fold04,0.92,925
Fold04,0.91,890
Fold04,0.90,856
Fold04,0.80,523
Fold04,0.70,333
Fold04,0.60,253
Fold04,0.50,152
Fold05,1.00,1602
Fold05,0.99,1372
Fold05,0.98,1234
Fold05,0.97,1160
Fold05,0.96,1094
Fold05,0.95,1053
Fold05,0.94,1000
Fold05,0.93,951
Fold05,0.92,924
Fold05,0.91,885
Fold05,0.90,855
Fold05,0.80,528
Fold05,0.70,336
Fold05,0.60,251
Fold05,0.50,155
Fold06,1.00,1602
Fold06,0.99,1384
Fold06,0.98,1240
Fold06,0.97,1163
Fold06,0.96,1100
Fold06,0.95,1057
Fold06,0.94,1002
Fold06,0.93,960
Fold06,0.92,925
Fold06,0.91,889
Fold06,0.90,857
Fold06,0.80,536
Fold06,0.70,338
Fold06,0.60,255
Fold06,0.50,159
Fold07,1.00,1602
Fold07,0.99,1370
Fold07,0.98,1235
Fold07,0.97,1161
Fold07,0.96,1099
Fold07,0.95,1054
Fold07,0.94,1003
Fold07,0.93,958
Fold07,0.92,928
Fold07,0.91,892
Fold07,0.90,857
Fold07,0.80,523
Fold07,0.70,334
Fold07,0.60,246
Fold07,0.50,153
Fold08,1.00,1604
Fold08,0.99,1374
Fold08,0.98,1234
Fold08,0.97,1157
Fold08,0.96,1094
Fold08,0.95,1057
Fold08,0.94,1006
Fold08,0.93,964
Fold08,0.92,929
Fold08,0.91,895
Fold08,0.90,857
Fold08,0.80,539
Fold08,0.70,335
Fold08,0.60,252
Fold08,0.50,156
Fold09,1.00,1601
Fold09,0.99,1371
Fold09,0.98,1231
Fold09,0.97,1162
Fold09,0.96,1098
Fold09,0.95,1052
Fold09,0.94,1000
Fold09,0.93,953
Fold09,0.92,920
Fold09,0.91,880
Fold09,0.90,847
Fold09,0.80,523
Fold09,0.70,332
Fold09,0.60,258
Fold09,0.50,150
Fold10,1.00,1598
Fold10,0.99,1370
Fold10,0.98,1219
Fold10,0.97,1148
Fold10,0.96,1094
Fold10,0.95,1047
Fold10,0.94,996
Fold10,0.93,954
Fold10,0.92,921
Fold10,0.91,884
Fold10,0.90,854
Fold10,0.80,543
Fold10,0.70,342
Fold10,0.60,257
Fold10,0.50,147
Fold11,1.00,1599
Fold11,0.99,1373
Fold11,0.98,1227
Fold11,0.97,1156
Fold11,0.96,1094
Fold11,0.95,1047
Fold11,0.94,1004
Fold11,0.93,955
Fold11,0.92,930
Fold11,0.91,889
Fold11,0.90,855
Fold11,0.80,540
Fold11,0.70,336
Fold11,0.60,255
Fold11,0.50,151
Fold12,1.00,1603
Fold12,0.99,1372
Fold12,0.98,1227
Fold12,0.97,1155
Fold12,0.96,1094
Fold12,0.95,1049
Fold12,0.94,1000
Fold12,0.93,957
Fold12,0.92,927
Fold12,0.91,892
Fold12,0.90,858
Fold12,0.80,543
Fold12,0.70,336
Fold12,0.60,255
Fold12,0.50,149
