dataset,sequence_identity,num_clusters,sample,assembler,coverage,read_type
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,1,648,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.99,555,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.98,520,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.97,499,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.97,499,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.97,499,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.97,499,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.97,499,Fold01,BINPACKER,200,PE
Fold01_200x_PE_samples_BINPACKER,0.97,499,Fold01,BINPACKER,200,PE
