sample,assembler,sequence_identity,n_datasets,mean_clusters,se_clusters,min_clusters,max_clusters
Fold01,BINPACKER,0.5,15,249,0,249,249
Fold01,BINPACKER,0.6,15,327,0,327,327
Fold01,BINPACKER,0.7,15,369,0,369,369
Fold01,BINPACKER,0.8,15,408,0,408,408
Fold01,BINPACKER,0.9,15,430,0,430,430
Fold01,BINPACKER,0.91,15,435,0,435,435
Fold01,BINPACKER,0.92,15,441,0,441,441
Fold01,BINPACKER,0.93,15,450,0,450,450
Fold01,BINPACKER,0.94,15,460,0,460,460
Fold01,BINPACKER,0.95,15,467,0,467,467
Fold01,BINPACKER,0.96,15,479,0,479,479
Fold01,BINPACKER,0.97,15,499,0,499,499
Fold01,BINPACKER,0.98,15,520,0,520,520
Fold01,BINPACKER,0.99,15,555,0,555,555
Fold01,BINPACKER,1,15,648,0,648,648
Fold01,BRIDGER,0.5,15,206,0,206,206
Fold01,BRIDGER,0.6,15,281,0,281,281
Fold01,BRIDGER,0.7,15,324,0,324,324
Fold01,BRIDGER,0.8,15,356,0,356,356
Fold01,BRIDGER,0.9,15,379,0,379,379
Fold01,BRIDGER,0.91,15,383,0,383,383
Fold01,BRIDGER,0.92,15,384,0,384,384
Fold01,BRIDGER,0.93,15,389,0,389,389
Fold01,BRIDGER,0.94,15,400,0,400,400
Fold01,BRIDGER,0.95,15,410,0,410,410
Fold01,BRIDGER,0.96,15,420,0,420,420
Fold01,BRIDGER,0.97,15,442,0,442,442
Fold01,BRIDGER,0.98,15,454,0,454,454
Fold01,BRIDGER,0.99,15,481,0,481,481
Fold01,BRIDGER,1,15,511,0,511,511
Fold01,CSTONE,0.5,15,157,0,157,157
Fold01,CSTONE,0.6,15,212,0,212,212
Fold01,CSTONE,0.7,15,231,0,231,231
Fold01,CSTONE,0.8,15,251,0,251,251
Fold01,CSTONE,0.9,15,262,0,262,262
Fold01,CSTONE,0.91,15,264,0,264,264
Fold01,CSTONE,0.92,15,265,0,265,265
Fold01,CSTONE,0.93,15,266,0,266,266
