contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,312,0.442308,-0.115942,-0.16092,20,1.328508,66,0.056396,false,NA,NA
TRINITY_DN0_c0_g1_i12,632,0.460443,-0.147766,0.13783,42,1.281823,93,0.108643,true,0.249589,N02513
TRINITY_DN0_c0_g1_i13,482,0.443983,-0.093458,0.08209,31,1.316592,123,0.09375,false,NA,NA
TRINITY_DN0_c0_g1_i14,484,0.469008,-0.048458,0.151751,40,1.50638,90,0.085205,false,NA,NA
TRINITY_DN0_c0_g1_i19,668,0.461078,-0.194805,0.177778,42,1.229663,105,0.109619,true,0.249589,N02513
TRINITY_DN0_c0_g1_i3,267,0.498127,-0.037594,0.134328,31,1.874321,88,0.062012,false,NA,NA
TRINITY_DN0_c0_g1_i4,267,0.490637,-0.053435,0.132353,29,1.809958,88,0.061523,true,0.996255,N00015
TRINITY_DN0_c0_g1_i6,423,0.470449,-0.21608,0.133929,31,1.389383,111,0.084229,false,NA,NA
TRINITY_DN0_c0_g1_i9,300,0.44,-0.075758,-0.130952,20,1.385361,62,0.056396,false,NA,NA
TRINITY_DN0_c0_g2_i1,279,0.512545,-0.132867,0.088235,34,1.888889,92,0.063721,true,1.0,N03045
TRINITY_DN0_c0_g2_i3,691,0.454414,0.006369,0.071618,60,1.682084,88,0.145508,true,0.998555,N01922
TRINITY_DN0_c0_g2_i4,350,0.488571,0.02924,-0.072626,34,1.629244,93,0.078369,true,0.989362,N03043
TRINITY_DN0_c0_g3_i1,203,0.418719,-0.058824,0.118644,17,1.917222,24,0.047852,false,NA,NA
TRINITY_DN1_c0_g1_i1,811,0.48582,0.050761,0.160671,82,1.717998,76,0.173096,true,0.968523,N01016
TRINITY_DN5_c0_g1_i1,204,0.480392,0.020408,-0.056604,22,1.87,67,0.047363,true,0.747253,N03213
TRINITY_DN5_c1_g1_i1,219,0.511416,-0.071429,0.028037,22,1.544231,72,0.050781,true,0.825758,N02727
TRINITY_DN7_c0_g1_i1,217,0.470046,0.0,-0.026087,16,1.334871,71,0.049805,true,0.794872,N03214
TRINITY_DN2_c0_g1_i1,334,0.48503,0.197531,0.348837,25,1.324346,103,0.065918,false,NA,NA
