contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,632,0.492089,-0.209003,-0.109034,61,1.667186,93,0.132568,true,0.731669,N01607
TRINITY_DN0_c0_g2_i1,237,0.535865,0.11811,-0.163636,27,1.609406,78,0.055176,true,0.975309,N02843
TRINITY_DN3_c0_g1_i1,291,0.522337,0.184211,0.007194,35,1.825269,82,0.065918,true,0.976526,N02782
TRINITY_DN3_c0_g1_i10,293,0.477816,0.171429,-0.045752,24,1.478553,71,0.067139,true,0.986111,N01664
TRINITY_DN3_c0_g1_i11,316,0.5,0.126582,-0.037975,25,1.286435,67,0.071289,false,NA,NA
TRINITY_DN3_c0_g1_i13,484,0.469008,-0.048458,-0.027237,39,1.468721,81,0.103516,true,0.70529,N01605
TRINITY_DN3_c0_g1_i14,362,0.491713,0.11236,-0.043478,37,1.712569,69,0.08252,false,NA,NA
TRINITY_DN3_c0_g1_i15,294,0.47619,0.071429,-0.194805,37,2.231385,71,0.067139,true,0.900332,N01612
TRINITY_DN3_c0_g1_i16,487,0.474333,-0.038961,-0.03125,39,1.425901,67,0.103027,true,0.713415,N01870
TRINITY_DN3_c0_g1_i17,225,0.502222,0.185841,-0.125,27,1.971123,75,0.051025,true,0.949074,N01663
TRINITY_DN3_c0_g1_i19,478,0.462343,-0.031674,-0.042802,42,1.645844,64,0.104248,true,0.736287,N01868
TRINITY_DN3_c0_g1_i2,436,0.520642,-0.048458,-0.138756,37,1.255213,82,0.095215,true,0.784553,N01870
TRINITY_DN3_c0_g1_i5,259,0.467181,0.008264,-0.202899,27,1.910656,61,0.059814,true,0.868545,N03236
TRINITY_DN3_c0_g1_i6,395,0.493671,0.005128,-0.11,38,1.579003,69,0.089111,true,0.773218,N00847
TRINITY_DN3_c0_g1_i7,296,0.486486,0.138889,0.039474,30,1.746656,75,0.066162,true,0.990741,N02780
TRINITY_DN3_c0_g1_i8,474,0.472574,-0.035714,0.0,41,1.551245,69,0.102539,true,0.696078,N01869
TRINITY_DN3_c0_g1_i9,265,0.50566,0.149254,-0.053435,28,1.69059,73,0.060059,true,0.849765,N02779
TRINITY_DN1_c0_g1_i10,573,0.443281,0.055118,0.122257,43,1.532276,92,0.123535,true,0.956897,N01651
TRINITY_DN1_c0_g1_i12,674,0.436202,0.054422,0.1,61,1.908285,85,0.143311,true,0.965015,N01645
TRINITY_DN1_c0_g1_i13,1717,0.370996,-0.105181,0.081481,104,1.779984,82,0.292236,true,0.599357,N02516
TRINITY_DN1_c0_g1_i2,612,0.419935,-0.003891,0.121127,49,1.816134,97,0.130859,true,0.953368,N01654
TRINITY_DN1_c0_g1_i4,283,0.39576,0.160714,0.169591,15,1.389525,31,0.062012,false,NA,NA
TRINITY_DN1_c0_g1_i6,403,0.493797,-0.065327,0.039216,46,1.880503,101,0.091553,true,0.566092,N00846
TRINITY_DN1_c0_g1_i7,535,0.448598,0.033333,0.105085,46,1.710929,129,0.117188,true,0.735632,N00846
TRINITY_DN1_c0_g1_i8,345,0.455072,-0.031847,-0.021277,32,1.793372,79,0.078369,true,0.956863,N01666
TRINITY_DN1_c0_g1_i9,640,0.451563,0.051903,0.128205,56,1.721091,85,0.137939,true,0.890671,N01645
TRINITY_DN1_c0_g2_i1,650,0.361538,-0.07234,0.06988,31,1.467162,68,0.129883,true,0.197641,N02516
TRINITY_DN2_c0_g1_i1,395,0.463291,-0.071038,-0.188679,42,1.991597,124,0.086182,true,0.737374,N01613
TRINITY_DN2_c0_g2_i1,366,0.497268,-0.153846,-0.163043,36,1.629685,77,0.083984,true,0.64346,N01874
TRINITY_DN2_c0_g3_i1,304,0.457237,0.05036,-0.078788,31,1.955998,71,0.067627,true,0.963816,N01611
