contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN41_c0_g1_i1,392,0.548469,0.116279,-0.107345,56,1.925614,130,0.085449,true,0.962963,N03288
TRINITY_DN27_c0_g1_i1,589,0.478778,-0.014184,-0.016287,53,1.570509,196,0.122559,true,0.896667,N03259
TRINITY_DN27_c0_g1_i2,534,0.47191,0.039683,0.070922,48,1.617059,177,0.114502,true,0.708333,N03259
TRINITY_DN29_c0_g1_i1,502,0.531873,-0.078652,-0.089362,57,1.615515,94,0.110596,true,0.910747,N03287
TRINITY_DN29_c0_g1_i2,552,0.496377,-0.094891,-0.043165,55,1.632258,107,0.122314,true,0.954145,N02795
TRINITY_DN29_c0_g1_i4,552,0.503623,-0.079137,-0.029197,56,1.61,127,0.121826,true,0.968254,N02796
TRINITY_DN57_c0_g1_i1,436,0.431193,-0.074468,-0.266129,28,1.389325,83,0.094971,true,0.981982,N01876
TRINITY_DN51_c0_g1_i1,751,0.454061,-0.049853,0.034146,78,2.02007,149,0.16333,true,0.984273,N02801
TRINITY_DN0_c0_g1_i1,422,0.561611,0.07173,0.016216,58,1.75204,140,0.095947,true,0.874429,N03245
TRINITY_DN0_c0_g1_i2,213,0.577465,-0.00813,0.177778,32,1.802221,70,0.04834,false,NA,NA
TRINITY_DN46_c0_g1_i1,224,0.491071,0.127273,-0.087719,24,1.806452,74,0.051514,true,0.995556,N01837
TRINITY_DN9_c0_g1_i1,216,0.513889,-0.027027,0.219048,24,1.684211,72,0.043213,true,0.692557,N03000
TRINITY_DN59_c0_g1_i1,582,0.579038,0.038576,0.069388,75,1.539683,193,0.129883,true,0.984772,N02853
TRINITY_DN61_c0_g1_i1,268,0.574627,-0.012987,0.035088,41,1.853576,89,0.061035,true,0.981685,N03228
TRINITY_DN25_c0_g1_i1,219,0.525114,-0.026087,-0.134615,25,1.657082,60,0.050537,true,0.990909,N00344
TRINITY_DN25_c0_g1_i2,219,0.525114,0.026087,-0.115385,24,1.590799,63,0.051514,true,0.968182,N00347
TRINITY_DN25_c0_g1_i3,219,0.525114,0.008696,-0.115385,21,1.391107,70,0.05127,true,0.986547,N00346
TRINITY_DN25_c0_g2_i1,207,0.507246,0.047619,-0.078431,19,1.430182,68,0.047119,true,0.995192,N00348
TRINITY_DN3_c0_g1_i1,376,0.545213,-0.092683,-0.005848,47,1.696621,125,0.084717,true,0.965879,N03059
TRINITY_DN3_c0_g1_i2,373,0.522788,-0.148718,0.022472,38,1.524742,124,0.081787,false,NA,NA
TRINITY_DN3_c0_g1_i3,359,0.534819,-0.083333,-0.017964,42,1.647509,119,0.080566,false,NA,NA
TRINITY_DN3_c0_g1_i5,359,0.532033,-0.109948,0.0,38,1.514095,119,0.07959,true,0.952646,N03057
TRINITY_DN3_c0_g2_i1,374,0.545455,-0.137255,0.023529,47,1.721983,124,0.081543,true,0.986737,N03054
TRINITY_DN60_c0_g1_i1,252,0.460317,0.086207,-0.073529,23,1.735849,83,0.058105,true,1.0,N02746
TRINITY_DN40_c0_g1_i1,350,0.491429,-0.104651,-0.05618,48,2.296651,116,0.080322,true,0.997151,N02797
TRINITY_DN1_c0_g1_i1,206,0.548544,0.097345,-0.139785,24,1.563567,68,0.04541,true,0.504902,N02850
TRINITY_DN66_c0_g1_i1,234,0.581197,0.044118,-0.081633,31,1.571831,78,0.05249,true,1.0,N03201
TRINITY_DN63_c0_g1_i1,311,0.453376,0.06383,0.082353,22,1.382222,103,0.071289,true,0.996795,N03266
TRINITY_DN44_c0_g1_i1,282,0.510638,0.097222,0.086957,40,2.196689,93,0.06543,true,1.0,N02847
TRINITY_DN37_c0_g1_i1,223,0.506726,-0.044248,-0.018182,25,1.749843,74,0.050537,true,0.991111,N03051
TRINITY_DN12_c0_g1_i1,522,0.54023,0.056738,-0.183333,72,1.896553,173,0.113525,true,0.95082,N03234
TRINITY_DN54_c0_g1_i1,570,0.596491,-0.058824,0.026087,101,1.998958,190,0.119873,true,0.982729,N02999
TRINITY_DN50_c0_g1_i1,206,0.480583,-0.090909,-0.046729,20,1.695473,68,0.047607,true,0.995169,N03217
TRINITY_DN38_c0_g1_i1,342,0.564327,0.015544,0.020134,52,1.910204,113,0.077881,true,0.982759,N03229
TRINITY_DN49_c0_g1_i1,686,0.489796,-0.107143,0.068571,73,1.79491,138,0.147705,true,0.796296,N01920
TRINITY_DN7_c0_g1_i1,330,0.509091,0.035714,-0.074074,32,1.49851,109,0.075439,true,1.0,N03278
TRINITY_DN43_c0_g1_i1,415,0.445783,-0.027027,0.017391,37,1.795906,138,0.094727,true,0.995204,N03240
TRINITY_DN42_c0_g1_i1,373,0.522788,-0.05641,-0.101124,56,2.204306,123,0.085938,true,0.994667,N03047
TRINITY_DN65_c0_g1_i1,268,0.492537,-0.015152,0.029412,27,1.661538,88,0.060059,true,0.981685,N03238
TRINITY_DN58_c0_g1_i1,327,0.498471,0.030675,-0.02439,45,2.21745,108,0.071533,true,0.990909,N02998
TRINITY_DN64_c0_g1_i1,207,0.492754,0.098039,-0.028571,22,1.767857,68,0.048096,true,0.985714,N02624
TRINITY_DN55_c0_g1_i1,332,0.590361,0.173469,0.029412,67,2.387976,85,0.075928,true,0.976401,N03002
TRINITY_DN28_c0_g1_i1,256,0.480469,-0.073171,0.007519,20,1.360978,85,0.056641,true,0.988372,N03282
TRINITY_DN35_c0_g1_i1,594,0.592593,-0.011364,-0.07438,101,1.93704,198,0.118896,true,0.951923,N02944
TRINITY_DN52_c0_g1_i1,248,0.459677,-0.087719,0.0,16,1.230769,81,0.056152,true,0.995984,N03215
TRINITY_DN53_c0_g1_i1,433,0.591224,-0.054688,0.039548,58,1.537435,143,0.097412,true,0.995402,N02851
TRINITY_DN2_c0_g1_i1,492,0.49187,0.07438,-0.152,51,1.723352,163,0.100586,true,0.824017,N03248
TRINITY_DN2_c0_g1_i3,595,0.477311,0.070423,-0.080386,51,1.51241,198,0.12207,true,0.956522,N03244
TRINITY_DN2_c0_g1_i4,283,0.469965,0.157895,-0.146667,31,2.034555,94,0.06543,false,NA,NA
TRINITY_DN2_c0_g2_i1,417,0.551559,-0.026087,0.112299,47,1.482975,138,0.08667,true,0.983452,N03286
TRINITY_DN24_c0_g1_i1,370,0.47027,0.0,-0.102041,33,1.613159,75,0.083008,true,0.949468,N02331
TRINITY_DN16_c0_g1_i1,1332,0.53003,-0.014164,-0.134185,124,1.325756,443,0.265137,false,NA,NA
TRINITY_DN16_c0_g1_i5,1335,0.534831,-0.011204,-0.130435,127,1.330464,282,0.264404,true,0.951002,N02303
TRINITY_DN16_c0_g1_i9,621,0.512077,-0.025157,-0.155116,60,1.474767,206,0.136475,true,0.592699,N02302
TRINITY_DN47_c0_g1_i1,444,0.603604,0.089552,0.170455,70,1.744891,147,0.094238,true,0.580574,N02794
TRINITY_DN62_c0_g1_i1,249,0.502008,0.056,0.016129,27,1.726502,82,0.059326,true,1.0,N03227
TRINITY_DN31_c0_g1_i1,460,0.643478,0.074324,0.012195,91,1.921682,153,0.094971,true,0.943983,N03055
TRINITY_DN31_c0_g1_i2,335,0.629851,0.127962,-0.048387,63,1.927749,111,0.072754,true,0.99697,N03208
TRINITY_DN31_c0_g1_i4,460,0.626087,0.097222,0.0,84,1.881207,153,0.097412,true,0.941909,N03058
TRINITY_DN45_c0_g1_i1,436,0.555046,0.057851,-0.164948,63,1.882401,144,0.097168,true,0.981982,N02724
TRINITY_DN39_c0_g1_i1,329,0.513678,0.029586,-0.1875,34,1.567984,109,0.071045,true,0.884848,N03252
TRINITY_DN6_c0_g1_i1,297,0.531987,-0.025316,-0.23741,39,1.857143,98,0.067871,true,0.99,N03281
TRINITY_DN6_c0_g1_i2,309,0.524272,-0.049383,-0.319728,43,2.030099,102,0.070801,true,0.996764,N02798
TRINITY_DN10_c0_g1_i1,276,0.474638,0.267176,-0.02069,29,2.009036,92,0.062256,true,1.0,N02833
TRINITY_DN10_c0_g1_i2,276,0.478261,0.272727,-0.027778,27,1.848214,92,0.061768,true,0.996377,N02832
TRINITY_DN10_c0_g1_i3,288,0.451389,0.215385,-0.025316,24,1.715562,96,0.063232,true,0.989474,N02830
TRINITY_DN26_c0_g1_i1,273,0.52381,0.118881,-0.015385,32,1.733333,90,0.063232,true,1.0,N02818
TRINITY_DN11_c0_g1_i1,341,0.478006,-0.018405,-0.011236,40,2.054217,113,0.076416,true,0.988304,N03280
TRINITY_DN11_c0_g1_i2,341,0.480938,-0.036585,0.016949,38,1.92971,113,0.076416,true,0.988304,N03279
TRINITY_DN56_c0_g1_i1,215,0.502326,-0.12963,0.046729,26,1.949773,71,0.048096,true,0.99537,N02844
TRINITY_DN48_c0_g1_i1,302,0.566225,0.076023,-0.038168,35,1.45432,99,0.068115,true,0.9967,N02854
TRINITY_DN13_c0_g1_i1,249,0.461847,0.06087,0.059701,23,1.738616,82,0.057129,true,0.890476,N02677
TRINITY_DN13_c0_g1_i3,278,0.460432,-0.0625,-0.04,25,1.703431,80,0.063965,true,0.890476,N02677
