contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN19_c0_g1_i1,229,0.49345,-0.026549,0.224138,16,1.148589,75,0.05127,true,0.965812,N02777
TRINITY_DN0_c0_g1_i1,785,0.482803,-0.124011,-0.098522,68,1.509701,129,0.159424,true,0.929217,N02316
TRINITY_DN0_c0_g1_i10,377,0.522546,-0.086294,-0.266667,33,1.2919,124,0.083252,true,1.0,N02776
TRINITY_DN0_c0_g1_i11,609,0.525452,-0.075,-0.16955,64,1.531113,128,0.129395,true,0.758003,N01885
TRINITY_DN0_c0_g1_i13,786,0.484733,-0.12336,-0.135802,69,1.517544,128,0.15918,true,0.936809,N02323
TRINITY_DN0_c0_g1_i14,610,0.516393,-0.060317,-0.138983,65,1.604224,129,0.131104,true,0.685019,N01885
TRINITY_DN0_c0_g1_i2,785,0.48535,-0.128609,-0.128713,69,1.517652,128,0.157959,true,0.960254,N01890
TRINITY_DN0_c0_g1_i3,785,0.478981,-0.106383,-0.105134,69,1.550052,129,0.161377,true,0.921687,N02316
TRINITY_DN0_c0_g1_i4,449,0.432071,-0.175258,-0.05098,28,1.378509,41,0.097656,true,0.522407,N01885
TRINITY_DN0_c0_g1_i5,761,0.494087,-0.111702,-0.101299,70,1.52623,128,0.155762,true,0.943662,N01885
TRINITY_DN0_c0_g1_i6,786,0.491094,-0.134715,-0.14,70,1.504388,128,0.158691,true,0.938389,N02323
TRINITY_DN0_c0_g1_i7,610,0.521311,-0.081761,-0.123288,63,1.530344,129,0.128662,true,0.690141,N01885
TRINITY_DN0_c0_g1_i8,786,0.492366,-0.136951,-0.122807,71,1.518944,128,0.158936,true,0.960254,N01890
TRINITY_DN0_c1_g1_i1,242,0.524793,0.11811,0.043478,32,1.947686,76,0.055908,false,NA,NA
TRINITY_DN0_c4_g1_i1,367,0.512262,0.042553,0.083799,43,1.789229,77,0.083496,true,0.598673,N01055
TRINITY_DN0_c4_g1_i2,236,0.555085,-0.083969,0.219048,31,1.717371,78,0.052246,true,0.991342,N01056
TRINITY_DN0_c4_g1_i3,367,0.517711,0.042105,0.096045,44,1.79243,77,0.082031,false,NA,NA
TRINITY_DN0_c5_g1_i1,265,0.573585,0.0,0.097345,39,1.789301,69,0.062256,false,NA,NA
TRINITY_DN36_c0_g1_i1,448,0.446429,0.14,-0.241935,35,1.599347,93,0.095703,true,0.966592,N02325
TRINITY_DN7_c0_g1_i1,425,0.468235,0.145729,0.053097,35,1.535088,94,0.094727,false,NA,NA
TRINITY_DN7_c0_g1_i2,469,0.458422,0.07907,0.055118,36,1.470219,50,0.102783,true,0.724522,N01889
TRINITY_DN8_c0_g1_i1,376,0.492021,0.135135,-0.036649,34,1.521905,70,0.086426,false,NA,NA
TRINITY_DN8_c1_g1_i1,290,0.541379,0.031847,-0.142857,37,1.743015,84,0.06665,false,NA,NA
TRINITY_DN2_c0_g1_i1,332,0.391566,-0.123077,0.039604,21,1.675559,60,0.071045,true,0.545936,N02322
TRINITY_DN6_c0_g1_i1,231,0.554113,0.15625,-0.242718,28,1.618619,76,0.052246,true,0.982684,N01060
TRINITY_DN6_c0_g1_i2,338,0.538462,-0.054945,-0.076923,37,1.514777,85,0.077393,true,0.533228,N02319
TRINITY_DN6_c0_g2_i1,231,0.376623,-0.241379,-0.013889,8,1.037037,44,0.047607,false,NA,NA
TRINITY_DN6_c0_g3_i1,667,0.455772,-0.105263,-0.035813,53,1.547225,133,0.132324,true,0.966917,N02320
