contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,279,0.530466,-0.175676,-0.007634,39,2.050311,92,0.064453,true,1.0,N03003
TRINITY_DN0_c0_g1_i2,394,0.535533,-0.090047,0.071038,47,1.677355,130,0.088135,true,0.986111,N01558
TRINITY_DN0_c0_g1_i3,1252,0.410543,0.031128,-0.03252,101,1.916375,120,0.24585,false,NA,NA
TRINITY_DN0_c0_g1_i4,1266,0.410742,0.057692,-0.037534,103,1.935406,120,0.24707,false,NA,NA
TRINITY_DN0_c0_g1_i5,1246,0.411717,0.060429,-0.031378,102,1.938797,120,0.244141,true,0.986842,N02985
TRINITY_DN0_c0_g1_i6,288,0.534722,-0.207792,0.029851,34,1.726071,95,0.066406,false,NA,NA
TRINITY_DN0_c0_g2_i2,282,0.528369,-0.221477,0.142857,30,1.60288,93,0.062744,true,1.0,N01557
TRINITY_DN0_c0_g2_i3,359,0.532033,-0.109948,0.047619,36,1.434406,94,0.081299,false,NA,NA
TRINITY_DN0_c0_g2_i4,341,0.545455,-0.043011,0.032258,41,1.619483,89,0.078125,false,NA,NA
TRINITY_DN0_c0_g2_i5,231,0.506494,-0.042735,0.052632,23,1.555328,76,0.052246,false,NA,NA
TRINITY_DN0_c0_g2_i6,359,0.534819,-0.09375,0.065868,36,1.414778,94,0.081299,false,NA,NA
TRINITY_DN0_c0_g2_i7,341,0.542522,-0.07027,0.025641,40,1.602067,89,0.077881,false,NA,NA
TRINITY_DN0_c1_g1_i1,1103,0.378966,0.0,0.00146,78,1.969598,64,0.218262,true,0.614969,N01540
