contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN27_c0_g1_i1,762,0.42126,0.015576,-0.102041,56,1.656908,66,0.164307,true,0.957286,N02184
TRINITY_DN22_c0_g1_i1,287,0.38676,-0.045045,-0.079545,11,1.027001,42,0.060059,true,0.079126,N02396
TRINITY_DN0_c0_g1_i1,754,0.415119,0.015974,-0.192744,54,1.662828,78,0.15625,true,0.602003,N00988
TRINITY_DN0_c1_g1_i1,265,0.475472,0.031746,-0.079137,35,2.339218,88,0.061279,true,0.433715,N00097
TRINITY_DN0_c1_g1_i2,221,0.443439,-0.020408,-0.00813,24,2.21,73,0.050293,true,0.349131,N00095
TRINITY_DN0_c1_g2_i1,210,0.490476,-0.126214,-0.009346,30,2.413793,70,0.047363,true,0.612903,N00088
TRINITY_DN9_c0_g1_i3,313,0.488818,-0.071895,0.0375,28,1.505325,94,0.068115,true,0.561743,N00444
TRINITY_DN9_c0_g1_i4,250,0.472,-0.169492,0.030303,20,1.478852,83,0.056152,false,NA,NA
TRINITY_DN9_c0_g1_i5,369,0.479675,-0.00565,-0.072917,34,1.60189,64,0.083252,true,0.464646,N02185
TRINITY_DN9_c0_g1_i8,379,0.472296,-0.005587,-0.1,31,1.466792,67,0.084717,false,NA,NA
TRINITY_DN9_c0_g2_i1,336,0.473214,0.031447,-0.096045,28,1.490022,88,0.074219,false,NA,NA
TRINITY_DN9_c1_g1_i1,226,0.504425,0.0,-0.017857,23,1.599877,67,0.049561,true,0.301913,N01248
TRINITY_DN25_c0_g1_i1,207,0.502415,-0.096154,-0.087379,26,2.008959,68,0.046631,true,0.985507,N01644
TRINITY_DN14_c0_g1_i1,207,0.492754,-0.078431,0.028571,27,2.162089,68,0.047363,true,0.990338,N02712
TRINITY_DN14_c0_g1_i2,210,0.471429,-0.090909,0.063063,25,2.160494,69,0.047607,true,0.995238,N02711
TRINITY_DN15_c0_g1_i1,333,0.387387,0.302326,-0.137255,16,1.409524,59,0.069824,true,0.081281,N02396
TRINITY_DN1_c0_g1_i1,263,0.444867,0.008547,-0.054795,18,1.383402,62,0.05957,true,0.789809,N02484
TRINITY_DN5_c0_g1_i1,437,0.384439,-0.071429,0.144981,30,1.867521,81,0.098145,true,0.54125,N02188
TRINITY_DN7_c0_g1_i10,286,0.342657,-0.020408,0.117021,8,0.953333,32,0.061768,true,0.342649,N00079
TRINITY_DN7_c0_g1_i11,217,0.40553,0.0,0.100775,14,1.569215,51,0.047607,true,0.523002,N00444
TRINITY_DN7_c0_g1_i12,373,0.364611,0.0,0.147679,19,1.532656,39,0.080566,true,0.471649,N00199
TRINITY_DN7_c0_g1_i3,246,0.341463,-0.047619,0.222222,10,1.397727,26,0.054443,false,NA,NA
TRINITY_DN7_c0_g1_i4,285,0.329825,-0.12766,0.21466,9,1.180396,39,0.062256,true,0.35589,N00058
TRINITY_DN7_c0_g1_i5,559,0.406082,-0.101322,0.120482,34,1.490667,49,0.12207,true,0.8125,N00492
TRINITY_DN7_c0_g1_i6,254,0.34252,-0.034483,0.209581,12,1.612698,44,0.05542,false,NA,NA
TRINITY_DN7_c0_g1_i7,374,0.430481,-0.018634,0.023474,31,1.78975,51,0.084473,false,NA,NA
TRINITY_DN7_c0_g1_i8,655,0.40458,-0.056604,0.071795,47,1.759143,100,0.139404,true,0.602757,N02187
TRINITY_DN7_c0_g1_i9,293,0.331058,-0.113402,0.204082,11,1.388028,39,0.0625,true,0.369251,N00075
TRINITY_DN7_c1_g1_i1,256,0.332031,0.223529,-0.298246,5,0.745921,21,0.050293,false,NA,NA
TRINITY_DN8_c0_g1_i1,358,0.318436,0.140351,-0.081967,12,1.348823,33,0.07666,false,NA,NA
TRINITY_DN8_c0_g1_i2,734,0.389646,0.013986,-0.044643,53,1.902764,70,0.152832,true,0.857322,N00982
TRINITY_DN8_c0_g1_i3,436,0.46789,0.019608,-0.025862,42,1.760769,68,0.097656,true,0.959135,N00443
TRINITY_DN8_c0_g1_i5,454,0.455947,-0.043478,-0.044534,47,1.995698,71,0.098877,true,0.729452,N00087
TRINITY_DN8_c0_g1_i6,346,0.453757,-0.006369,-0.058201,34,1.90912,66,0.076172,true,0.501188,N00446
