contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN19_c0_g1_i1,526,0.460076,-0.090909,-0.042254,40,1.449036,85,0.116211,true,0.948052,N01020
TRINITY_DN19_c0_g1_i2,526,0.456274,-0.083333,-0.041958,41,1.508112,85,0.116699,true,0.972274,N01019
TRINITY_DN19_c0_g1_i3,398,0.5,-0.135678,-0.105528,33,1.351513,76,0.089355,true,0.912037,N01215
TRINITY_DN19_c0_g2_i1,236,0.533898,-0.095238,0.072727,24,1.440122,78,0.05249,true,0.92549,N01841
TRINITY_DN27_c0_g1_i1,207,0.516908,-0.158879,0.06,32,2.374194,68,0.046875,true,0.932367,N02846
TRINITY_DN22_c0_g1_i1,284,0.56338,-0.075,-0.032258,31,1.383407,94,0.064697,true,0.992982,N01818
TRINITY_DN22_c0_g1_i2,276,0.561594,-0.045161,-0.057851,33,1.51952,92,0.064209,true,1.0,N01769
TRINITY_DN29_c0_g1_i1,235,0.540426,0.149606,-0.055556,37,2.205733,77,0.054199,true,0.991561,N01728
TRINITY_DN0_c0_g1_i1,240,0.516667,-0.016129,-0.017241,32,1.998439,79,0.055176,true,1.0,N01756
TRINITY_DN25_c0_g1_i1,262,0.503817,0.136364,-0.030769,32,1.96117,86,0.060303,true,0.992424,N03277
TRINITY_DN3_c0_g1_i1,313,0.527157,-0.018182,-0.256757,38,1.748089,104,0.070068,true,0.901587,N01864
TRINITY_DN3_c0_g1_i2,303,0.511551,-0.019355,-0.310811,34,1.715856,100,0.069336,true,0.990099,N01209
TRINITY_DN3_c0_g1_i3,314,0.506369,0.018868,-0.251613,34,1.689775,104,0.072754,true,0.980952,N02990
TRINITY_DN3_c0_g1_i5,295,0.559322,0.042424,-0.138462,44,1.910509,98,0.067627,true,0.983165,N01861
TRINITY_DN14_c0_g1_i1,233,0.55794,-0.092308,-0.067961,32,1.7799,77,0.055176,true,0.995726,N01792
TRINITY_DN15_c0_g1_i1,265,0.498113,-0.106061,-0.067669,31,1.90736,88,0.061279,true,0.992509,N03004
TRINITY_DN15_c0_g2_i1,252,0.480159,-0.057851,-0.053435,29,2.003289,83,0.058838,true,0.996032,N03028
TRINITY_DN32_c0_g1_i1,219,0.515982,0.185841,-0.056604,29,2.060675,73,0.049805,true,1.0,N01813
TRINITY_DN5_c0_g1_i1,530,0.658491,0.054441,-0.270718,87,1.518775,176,0.098633,true,0.992509,N02955
TRINITY_DN5_c0_g1_i2,526,0.665399,0.04,-0.295455,90,1.548273,175,0.100586,true,0.969868,N02957
TRINITY_DN5_c0_g1_i4,530,0.650943,0.078261,-0.275676,88,1.577061,176,0.102783,true,0.992509,N02953
