contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN0_c0_g1_i1,323,0.517028,-0.113772,-0.025641,35,1.642691,100,0.074707,true,0.988636,N01764
TRINITY_DN0_c0_g1_i3,416,0.420673,-0.12,-0.045643,46,2.535913,77,0.092285,true,0.960227,N02352
TRINITY_DN0_c0_g1_i4,334,0.458084,-0.124183,-0.049724,31,1.796946,91,0.077637,true,0.97491,N01767
TRINITY_DN0_c0_g1_i5,455,0.43956,-0.07,-0.098039,45,2.057582,91,0.098633,true,0.95186,N01264
TRINITY_DN0_c0_g2_i1,257,0.490272,-0.095238,0.145038,27,1.764302,84,0.059814,true,0.996124,N03052
TRINITY_DN0_c0_g3_i1,301,0.45515,-0.036496,-0.121951,27,1.734315,75,0.068848,true,0.87574,N02462
TRINITY_DN0_c1_g1_i1,1143,0.405074,-0.028078,0.082353,82,1.750252,116,0.222412,true,0.247475,N02512
TRINITY_DN1_c0_g1_i1,577,0.454073,-0.145038,0.142857,36,1.236429,72,0.11499,true,0.242424,N02512
TRINITY_DN2_c0_g1_i1,207,0.483092,-0.06,-0.158879,16,1.329587,69,0.047852,true,0.794574,N02723
TRINITY_DN2_c0_g2_i1,266,0.518797,0.173913,0.140625,21,1.209877,44,0.055664,true,0.0867,N02512
