contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TRINITY_DN22_c2_g1_i1,384,0.505208,-0.020619,0.042105,36,1.469856,127,0.084717,true,1.0,N02903
TRINITY_DN0_c0_g1_i1,387,0.509044,0.086294,-0.031579,38,1.527103,128,0.085205,true,1.0,N02900
TRINITY_DN0_c0_g1_i10,349,0.501433,0.028571,0.022989,31,1.414248,115,0.078369,false,NA,NA
TRINITY_DN0_c0_g1_i12,354,0.497175,0.022727,0.033708,33,1.509302,117,0.080322,true,0.985632,N02962
TRINITY_DN0_c0_g1_i15,396,0.515152,0.04902,0.052083,41,1.564313,131,0.088867,true,0.974747,N02898
TRINITY_DN0_c0_g1_i16,349,0.504298,0.056818,-0.017341,38,1.718098,115,0.07959,true,0.988506,N02882
TRINITY_DN0_c0_g1_i17,333,0.507508,-0.04142,-0.109756,32,1.494949,110,0.076416,false,NA,NA
TRINITY_DN0_c0_g1_i18,393,0.503817,0.10101,0.076923,40,1.620451,130,0.088623,true,0.965054,N02852
TRINITY_DN0_c0_g1_i19,305,0.514754,0.070064,-0.054054,33,1.641389,101,0.071045,true,0.929664,N02959
TRINITY_DN0_c0_g1_i2,396,0.507576,0.084577,0.097436,46,1.816514,131,0.087158,true,0.951654,N02894
TRINITY_DN0_c0_g1_i21,354,0.491525,0.022989,-0.011111,35,1.637806,117,0.081787,true,0.988701,N02892
TRINITY_DN0_c0_g1_i22,377,0.509284,0.072917,-0.037838,38,1.56278,125,0.08252,true,0.958656,N02900
TRINITY_DN0_c0_g1_i3,393,0.486005,-0.005236,0.059406,36,1.551316,130,0.087158,true,0.997455,N02886
TRINITY_DN0_c0_g1_i5,366,0.489071,-0.050279,-0.005348,29,1.328411,121,0.08374,false,NA,NA
TRINITY_DN0_c0_g1_i6,265,0.490566,0.107692,0.17037,23,1.459531,87,0.062256,false,NA,NA
TRINITY_DN0_c0_g1_i7,349,0.495702,0.028902,-0.022727,33,1.54053,115,0.079834,true,0.988539,N02891
TRINITY_DN0_c0_g1_i9,366,0.494536,-0.049724,0.037838,27,1.209547,121,0.081787,false,NA,NA
TRINITY_DN1_c0_g1_i1,372,0.483871,-0.011111,-0.052083,33,1.515743,124,0.082764,true,0.938931,N02886
TRINITY_DN34_c2_g1_i1,453,0.591611,0.149254,0.048649,78,2.012645,150,0.098633,true,1.0,N02895
TRINITY_DN4_c0_g1_i1,322,0.503106,0.049383,0.025,32,1.574332,107,0.074463,true,0.932749,N02889
TRINITY_DN21_c1_g1_i1,423,0.63357,-0.067164,0.006452,81,1.916811,140,0.091553,true,1.0,N02896
